year,cofog_level1_code,dept_code,value
2009,10,Dept047,90079000.01
2010,09,Dept022,9722914983.81001
2004,02,HMT087,0.0
2007,09,NAW090,1362792000.0
2006,04,Dept006,8584999.98
2005,04,SCT075,1995459000.0
2006,04,Dept085,1640016197.0
2009,04,Dept085,1738972999.9899998
2006,03,Dept019,42443000.019999996
2007,04,Northern Irish LG Adjustment/Input,23504000.0
2008,10,Dept004,6800000.0
2010,10,SCT075,223605000.0
2006,01,DWP032,0.0
2009,10,Dept032,128762943560.03989
2004,06,NAW090,8060000.0
2006,04,Dept020,35344000.01
2006,08,DPM085,0.0
2009,01,Dept010,358932999.98999995
2007,04,ECG025,0.0
2005,01,MOD017,47292000.0
2004,03,Dept022,110449000.0
2007,01,DCM048,0.0
2004,01,CEX086,24014997000.0
2005,03,NIO081,1065111000.0
2007,04,Dept090,48889000.0
2007,09,Dept022,8317919900.0099945
2008,07,Dept048,51400000.0
2007,03,Dept022,114149959.08999999
2009,01,Dept032,29571999.99
2009,08,Dept017,21769999.98
2007,05,Dept048,113200000.0
2010,10,Dept033,-1572936999.9999998
2006,10,Dept047,-6343999.99
2007,03,NIC081,125272000.0
2006,04,Dept041,148100000.00000003
2005,02,MOD017,29580254000.0
2007,10,Dept017,2768938000.0000005
2005,03,Dept034,1207768000.0499995
2010,08,Welsh LG Adjustment/Input,0.0
2008,02,SCT075,0.0
2010,04,Dept026,129027999.98999998
2009,03,Dept047,9366912000.02
2006,10,Dept033,-2331181999.9799995
2005,03,TSC068,0.0
2008,10,NIO081,93165000.0
2005,01,Dept048,11000000.0
2006,04,EFR003,0.0
2008,03,HOF034,2048516000.0
2005,04,Dept088,25238000.01
2004,05,Dept003,910106812.9900007
2008,10,Dept047,104257999.99000001
2006,01,SCO042,6766000.0
2006,03,Scottish LG Adjustment/Input,1194422000.0
2006,02,SCT075,2499000.0
2005,06,NAW090,130832000.0
2004,08,SCT075,154148000.0
2008,04,Welsh LG Adjustment/Input,612682000.0
2009,04,EFR003,0.0
2010,01,Dept048,0.0
2004,07,England LA data,340159000.0
2006,07,Dept033,76729607000.0
2009,03,HGT089,0.0
2005,03,Dept066,973000.0
2008,01,Dept084,9751000.019999996
2005,10,England LA data,32225724000.03
2009,06,NAW090,234636000.0
2008,01,DEC066,0.0
2010,03,ARA035,0.0
2005,08,Dept017,18887000.009999983
2004,10,NIO081,38041000.0
2007,01,HOC036,152880000.0
2010,02,Dept085,1582000.0200000003
2006,01,Dept030,4317978000.0
